Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8
1.154,0.241,-0.847,-1.6,0.87,-0.336,0.979,0.164,2.268
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.164,2.483
0.407,2.421,-0.847,0.105,0.686,-0.389,-1.418,0.164,2.657
0.941,0.896,-0.847,-1.296,1.623,2.076,-2.103,0.164,1.142
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.164,2.483
0.049,1.472,-0.847,-1.726,0.837,0.407,0.376,0.164,2.225
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.164,2.483
1.51,1.195,-0.847,0.208,0.82,-1.132,-0.819,0.164,2.148
1.04,1.334,-0.847,-1.67,2.644,-0.363,-0.222,0.164,2.609
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.164,2.483
0.543,1.334,-0.847,-0.312,0.552,-0.363,-0.222,0.164,1.441
0.888,1.336,-0.847,-0.537,0.652,-0.602,-0.211,0.718,1.741
0.307,2.183,-0.847,-0.284,0.401,0.951,-2.018,0.718,1.842
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,0.718,1.759
1.376,0.376,-0.847,-1.413,2.075,-0.475,0.376,0.718,1.849
0.898,0.231,-0.847,-2.574,2.879,-1.554,2.732,0.718,1.597
1.855,0.52,-0.847,-0.022,0.451,-1.554,0.099,0.718,2.297
1.797,0.502,-0.847,-2.049,4.352,-1.554,0.835,0.718,2.088
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,0.718,1.759
1.028,0.269,-0.847,-1.108,0.987,-1.554,1.897,0.718,1.304
2.393,-0.856,-0.847,-1.862,3.682,-1.554,1.498,0.718,1.4
1.376,0.376,-0.847,-1.314,1.724,-1.554,1.416,0.718,1.759
0.36,1.606,-0.847,-1.211,1.355,-1.554,1.332,0.718,1.932
1.154,0.241,-0.847,-1.6,0.87,-0.336,0.979,0.718,2.375
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.718,2.603
0.941,0.896,-0.847,-1.296,1.623,2.076,-2.103,0.718,1.238
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.718,2.603
0.049,1.472,-0.847,-1.726,0.837,0.407,0.376,0.718,2.453
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.718,2.603
1.51,1.195,-0.847,0.208,0.82,-1.132,-0.819,0.718,2.244
1.04,1.334,-0.847,-1.67,2.644,-0.363,-0.222,0.718,2.8
0.779,1.334,-0.847,-0.78,0.903,-0.363,-0.222,0.718,2.603
0.543,1.334,-0.847,-0.312,0.552,-0.363,-0.222,0.718,1.914
-0.563,-0.856,0.664,0.362,-0.292,-0.075,1.207,-0.675,-1.451
-0.563,-0.856,0.664,0.362,-0.292,-0.075,1.207,-0.501,-0.681
-0.563,-0.856,0.664,0.362,-0.292,-0.075,1.207,-0.28,-0.654
-0.563,-0.856,0.664,0.362,-0.292,-0.075,1.207,0.164,-0.381
-0.563,-0.856,0.664,0.362,-0.292,-0.075,1.207,0.86,0.293
-0.453,-0.856,0.631,0.764,-0.274,-0.333,0.98,-0.675,-1.522
-0.453,-0.856,0.631,0.764,-0.274,-0.333,0.98,-0.501,-0.819
-0.453,-0.856,0.631,0.764,-0.274,-0.333,0.98,-0.28,-0.777
-0.453,-0.856,0.631,0.764,-0.274,-0.333,0.98,0.164,-0.488
-0.453,-0.856,0.631,0.764,-0.274,-0.333,0.98,0.86,-0.076
-0.828,-0.856,0.724,-0.747,0.214,0.431,1.65,-0.675,-1.399
-0.828,-0.856,0.724,-0.747,0.214,0.431,1.65,-0.501,-0.648
-0.828,-0.856,0.724,-0.747,0.214,0.431,1.65,-0.28,-0.604
-0.828,-0.856,0.724,-0.747,0.214,0.431,1.65,0.164,-0.111
-0.828,-0.856,0.724,-0.747,0.214,0.431,1.65,0.86,0.091
-0.866,-0.856,1.113,-0.91,0.262,1.506,0.38,-0.675,-1.243
-0.866,-0.856,1.113,-0.91,0.262,1.506,0.38,-0.501,-0.883
-0.866,-0.856,1.113,-0.91,0.262,1.506,0.38,-0.28,-0.564
-0.866,-0.856,1.113,-0.91,0.262,1.506,0.38,0.164,-0.028
-0.866,-0.856,1.113,-0.91,0.262,1.506,0.38,0.86,0.284
-0.661,-0.856,1.054,-0.059,-0.086,1.089,0.072,-0.675,-1.397
-0.661,-0.856,1.054,-0.059,-0.086,1.089,0.072,-0.501,-0.892
-0.661,-0.856,1.054,-0.059,-0.086,1.089,0.072,-0.28,-0.653
-0.661,-0.856,1.054,-0.059,-0.086,1.089,0.072,0.164,-0.097
-0.661,-0.856,1.054,-0.059,-0.086,1.089,0.072,0.86,0.227
-0.49,-0.856,1.002,0.651,-0.263,0.726,-0.187,-0.675,-1.544
-0.49,-0.856,1.002,0.651,-0.263,0.726,-0.187,-0.501,-0.942
-0.49,-0.856,1.002,0.651,-0.263,0.726,-0.187,-0.28,-0.678
-0.49,-0.856,1.002,0.651,-0.263,0.726,-0.187,0.164,-0.256
-0.49,-0.856,1.002,0.651,-0.263,0.726,-0.187,0.86,-0.028
-0.869,-0.856,1.109,-0.923,0.616,1.481,0.362,-0.675,-1.579
-0.869,-0.856,1.109,-0.923,0.616,1.481,0.362,-0.501,-0.784
-0.869,-0.856,1.109,-0.923,0.616,1.481,0.362,-0.28,-0.44
-0.869,-0.856,1.109,-0.923,0.616,1.481,0.362,0.164,0.164
-0.869,-0.856,1.109,-0.923,0.616,1.481,0.362,0.86,0.274
-1.101,-0.856,1.705,-0.239,-0.287,1.102,0.081,-0.675,-1.5
-1.101,-0.856,1.705,-0.239,-0.287,1.102,0.081,-0.501,-0.619
-1.101,-0.856,1.705,-0.239,-0.287,1.102,0.081,-0.28,-0.855
-1.101,-0.856,1.705,-0.239,-0.287,1.102,0.081,0.164,-0.43
-1.101,-0.856,1.705,-0.239,-0.287,1.102,0.081,0.86,-0.136
-1.083,-0.369,1.713,-2.801,-0.081,1.103,0.081,-0.675,-1.68
-1.083,-0.369,1.713,-2.801,-0.081,1.103,0.081,-0.501,-1.077
-1.083,-0.369,1.713,-2.801,-0.081,1.103,0.081,-0.28,-0.693
-1.083,-0.369,1.713,-2.801,-0.081,1.103,0.081,0.164,-0.177
-1.083,-0.369,1.713,-2.801,-0.081,1.103,0.081,0.86,0.204
-0.645,0.28,-0.464,0.007,0.11,1.195,0.147,-0.675,-1.067
-0.645,0.28,-0.464,0.007,0.11,1.195,0.147,-0.501,-0.325
-0.645,0.28,-0.464,0.007,0.11,1.195,0.147,-0.28,0.592
-0.645,0.28,-0.464,0.007,0.11,1.195,0.147,0.164,0.895
-0.645,0.28,-0.464,0.007,0.11,1.195,0.147,0.86,1.083
-0.645,0.28,-0.464,0.008,0.075,1.197,0.149,-0.675,-1.355
-0.645,0.28,-0.464,0.008,0.075,1.197,0.149,-0.501,-1.076
-0.645,0.28,-0.464,0.008,0.075,1.197,0.149,-0.28,0.264
-0.645,0.28,-0.464,0.008,0.075,1.197,0.149,0.164,0.677
-0.645,0.28,-0.464,0.008,0.075,1.197,0.149,0.86,0.847
-0.493,-0.856,1.0,0.64,-0.012,0.71,-0.199,-0.675,-1.345
-0.493,-0.856,1.0,0.64,-0.012,0.71,-0.199,-0.501,-0.808
-0.493,-0.856,1.0,0.64,-0.012,0.71,-0.199,-0.28,-0.675
-0.493,-0.856,1.0,0.64,-0.012,0.71,-0.199,0.164,-0.267
-0.493,-0.856,1.0,0.64,-0.012,0.71,-0.199,0.86,0.302
-0.413,-0.856,0.624,0.239,0.133,-0.296,0.916,-0.675,-0.951
-0.413,-0.856,0.624,0.239,0.133,-0.296,0.916,-0.501,-0.606
-0.413,-0.856,0.624,0.239,0.133,-0.296,0.916,-0.28,-0.334
-0.413,-0.856,0.624,0.239,0.133,-0.296,0.916,0.164,0.226
-0.413,-0.856,0.624,0.239,0.133,-0.296,0.916,0.86,0.508
-0.298,-0.856,0.649,0.274,-0.113,-0.207,1.092,-0.675,-1.317
-0.298,-0.856,0.649,0.274,-0.113,-0.207,1.092,-0.501,-0.652
-0.298,-0.856,0.649,0.274,-0.113,-0.207,1.092,-0.28,-0.395
-0.298,-0.856,0.649,0.274,-0.113,-0.207,1.092,0.164,0.15
-0.298,-0.856,0.649,0.274,-0.113,-0.207,1.092,0.86,0.391
-0.657,-0.856,0.722,-1.042,0.42,0.449,1.622,-0.675,-1.333
-0.657,-0.856,0.722,-1.042,0.42,0.449,1.622,-0.501,-0.569
-0.657,-0.856,0.722,-1.042,0.42,0.449,1.622,-0.28,-0.25
-0.657,-0.856,0.722,-1.042,0.42,0.449,1.622,0.164,0.403
-0.657,-0.856,0.722,-1.042,0.42,0.449,1.622,0.86,0.425
-0.656,-0.856,0.722,-1.04,0.698,0.397,1.624,-0.675,-1.346
-0.656,-0.856,0.722,-1.04,0.698,0.397,1.624,-0.501,-0.625
-0.656,-0.856,0.722,-1.04,0.698,0.397,1.624,-0.28,0.095
-0.656,-0.856,0.722,-1.04,0.698,0.397,1.624,0.164,0.513
-0.656,-0.856,0.722,-1.04,0.698,0.397,1.624,0.86,0.714
-0.662,-0.856,1.103,-1.057,0.274,1.447,0.324,-0.675,-0.976
-0.662,-0.856,1.103,-1.057,0.274,1.447,0.324,-0.501,-0.267
-0.662,-0.856,1.103,-1.057,0.274,1.447,0.324,-0.28,0.161
-0.662,-0.856,1.103,-1.057,0.274,1.447,0.324,0.164,0.555
-0.662,-0.856,1.103,-1.057,0.274,1.447,0.324,0.86,0.718
-0.473,-0.856,1.054,-0.356,0.087,1.074,0.061,-0.675,-1.22
-0.473,-0.856,1.054,-0.356,0.087,1.074,0.061,-0.501,-0.541
-0.473,-0.856,1.054,-0.356,0.087,1.074,0.061,-0.28,-0.125
-0.473,-0.856,1.054,-0.356,0.087,1.074,0.061,0.164,0.412
-0.473,-0.856,1.054,-0.356,0.087,1.074,0.061,0.86,0.6
-0.285,-0.856,1.001,0.322,-0.076,0.714,-0.198,-0.675,-1.113
-0.285,-0.856,1.001,0.322,-0.076,0.714,-0.198,-0.501,-0.352
-0.285,-0.856,1.001,0.322,-0.076,0.714,-0.198,-0.28,-0.369
-0.285,-0.856,1.001,0.322,-0.076,0.714,-0.198,0.164,0.069
-0.285,-0.856,1.001,0.322,-0.076,0.714,-0.198,0.86,0.465
-0.285,-0.856,1.001,0.322,0.025,0.714,-0.198,-0.675,-1.359
-0.285,-0.856,1.001,0.322,0.025,0.714,-0.198,-0.501,-0.682
-0.285,-0.856,1.001,0.322,0.025,0.714,-0.198,-0.28,-0.189
-0.285,-0.856,1.001,0.322,0.025,0.714,-0.198,0.164,0.049
-0.285,-0.856,1.001,0.322,0.025,0.714,-0.198,0.86,0.502
-0.955,-0.856,1.763,-0.561,0.227,1.063,0.053,-0.675,-1.329
-0.955,-0.856,1.763,-0.561,0.227,1.063,0.053,-0.501,-0.851
-0.955,-0.856,1.763,-0.561,0.227,1.063,0.053,-0.28,-0.482
-0.955,-0.856,1.763,-0.561,0.227,1.063,0.053,0.164,-0.015
-0.955,-0.856,1.763,-0.561,0.227,1.063,0.053,0.86,0.572
-0.949,-0.332,1.059,-0.532,0.333,1.112,0.088,-0.675,-1.706
-0.949,-0.332,1.059,-0.532,0.333,1.112,0.088,-0.501,-0.857
-0.949,-0.332,1.059,-0.532,0.333,1.112,0.088,-0.28,-0.272
-0.949,-0.332,1.059,-0.532,0.333,1.112,0.088,0.164,0.46
-0.949,-0.332,1.059,-0.532,0.333,1.112,0.088,0.86,0.769
-1.074,-0.367,1.095,-1.088,0.775,1.387,0.282,-0.675,-1.701
-1.074,-0.367,1.095,-1.088,0.775,1.387,0.282,-0.501,-0.737
-1.074,-0.367,1.095,-1.088,0.775,1.387,0.282,-0.28,-0.281
-1.074,-0.367,1.095,-1.088,0.775,1.387,0.282,0.164,0.199
-1.074,-0.367,1.095,-1.088,0.775,1.387,0.282,0.86,0.738
0.088,-0.856,0.656,-0.632,0.537,-0.151,1.14,-0.675,-0.797
0.088,-0.856,0.656,-0.632,0.537,-0.151,1.14,-0.501,-0.068
0.088,-0.856,0.656,-0.632,0.537,-0.151,1.14,-0.28,-0.065
0.088,-0.856,0.656,-0.632,0.537,-0.151,1.14,0.164,0.555
0.088,-0.856,0.656,-0.632,0.537,-0.151,1.14,0.86,0.787
-0.039,-0.856,0.675,-0.982,0.942,0.013,1.273,-0.675,-0.759
-0.039,-0.856,0.675,-0.982,0.942,0.013,1.273,-0.501,0.363
-0.039,-0.856,0.675,-0.982,0.942,0.013,1.273,-0.28,0.746
-0.039,-0.856,0.675,-0.982,0.942,0.013,1.273,0.164,0.911
-0.039,-0.856,0.675,-0.982,0.942,0.013,1.273,0.86,1.187
0.139,-0.856,0.648,-0.469,0.446,-0.229,1.068,-0.675,-0.771
0.139,-0.856,0.648,-0.469,0.446,-0.229,1.068,-0.501,-0.035
0.139,-0.856,0.648,-0.469,0.446,-0.229,1.068,-0.28,0.247
0.139,-0.856,0.648,-0.469,0.446,-0.229,1.068,0.164,0.772
0.139,-0.856,0.648,-0.469,0.446,-0.229,1.068,0.86,0.971
-0.281,-0.856,0.715,-1.659,1.029,0.425,1.574,-0.675,-0.886
-0.281,-0.856,0.715,-1.659,1.029,0.425,1.574,-0.501,-0.147
-0.281,-0.856,0.715,-1.659,1.029,0.425,1.574,-0.28,-0.112
-0.281,-0.856,0.715,-1.659,1.029,0.425,1.574,0.164,0.498
-0.281,-0.856,0.715,-1.659,1.029,0.425,1.574,0.86,0.572
-0.307,-0.856,0.696,-1.098,1.104,0.191,1.44,-0.675,-1.225
-0.307,-0.856,0.696,-1.098,1.104,0.191,1.44,-0.501,-0.427
-0.307,-0.856,0.696,-1.098,1.104,0.191,1.44,-0.28,-0.298
-0.307,-0.856,0.696,-1.098,1.104,0.191,1.44,0.164,0.372
-0.307,-0.856,0.696,-1.098,1.104,0.191,1.44,0.86,0.912
-0.276,-0.856,0.696,-1.654,1.334,0.191,1.44,-0.675,-0.84
-0.276,-0.856,0.696,-1.654,1.334,0.191,1.44,-0.501,0.388
-0.276,-0.856,0.696,-1.654,1.334,0.191,1.44,-0.28,0.885
-0.276,-0.856,0.696,-1.654,1.334,0.191,1.44,0.164,1.198
-0.276,-0.856,0.696,-1.654,1.334,0.191,1.44,0.86,1.504
-0.329,-0.856,1.108,-1.792,0.969,1.465,0.341,-0.675,-0.736
-0.329,-0.856,1.108,-1.792,0.969,1.465,0.341,-0.501,0.383
-0.329,-0.856,1.108,-1.792,0.969,1.465,0.341,-0.28,0.999
-0.329,-0.856,1.108,-1.792,0.969,1.465,0.341,0.164,1.467
-0.329,-0.856,1.108,-1.792,0.969,1.465,0.341,0.86,1.832
-0.058,-0.856,1.049,-1.034,0.619,1.038,0.049,-0.675,-0.719
-0.058,-0.856,1.049,-1.034,0.619,1.038,0.049,-0.501,0.177
-0.058,-0.856,1.049,-1.034,0.619,1.038,0.049,-0.28,0.929
-0.058,-0.856,1.049,-1.034,0.619,1.038,0.049,0.164,1.259
-0.058,-0.856,1.049,-1.034,0.619,1.038,0.049,0.86,1.364
0.153,-0.856,0.99,-0.317,0.555,0.642,-0.251,-0.675,-0.832
0.153,-0.856,0.99,-0.317,0.555,0.642,-0.251,-0.501,0.07
0.153,-0.856,0.99,-0.317,0.555,0.642,-0.251,-0.28,0.693
0.153,-0.856,0.99,-0.317,0.555,0.642,-0.251,0.164,0.966
0.153,-0.856,0.99,-0.317,0.555,0.642,-0.251,0.86,1.253
